AvgSpotLen	BioSample	BioSampleModel	DATASTORE_filetype	DATASTORE_provider	Experiment	LibrarySource	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	collection_date	dev_stage	geo_loc_name	health_state	identified_by	isolate	isolation_source	race	sex	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LoadDate	Platform	ReleaseDate	SRA_Study
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889530	TRANSCRIPTOMIC	NEB_brain_sample_small_RNA_in_triplicate_500ng_total_RNA_input	4151	1616	Homo sapiens	SRR9115365	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889529	TRANSCRIPTOMIC	NEB_brain_sample_small_RNA_in_triplicate_250ng_total_RNA_input	2827	1111	Homo sapiens	SRR9115366	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889528	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_triplicate_1500ng_total_RNA_input	7541	2957	Homo sapiens	SRR9115367	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889527	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_triplicate_1000ng_total_RNA_input	3827	1509	Homo sapiens	SRR9115368	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889526	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_triplicate_500ng_total_RNA_input	4010	1572	Homo sapiens	SRR9115369	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889525	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_triplicate_250ng_total_RNA_input	2056	851	Homo sapiens	SRR9115370	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889524	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_triplicate_100ng_total_RNA_input	10	15	Homo sapiens	SRR9115371	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889523	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_triplicate_2000ng_total_RNA_input	5487	2140	Homo sapiens	SRR9115372	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889522	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_triplicate_1000ng_total_RNA_input	35	53	Homo sapiens	SRR9115373	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889521	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_triplicate_1500ng_total_RNA_input	75	113	Homo sapiens	SRR9115374	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889520	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_triplicate_1000ng_total_RNA_input	36	51	Homo sapiens	SRR9115375	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889519	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_triplicate_1500ng_total_RNA_input	49	70	Homo sapiens	SRR9115376	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889518	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_triplicate_250ng_total_RNA_input	18	26	Homo sapiens	SRR9115377	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889517	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_triplicate_500ng_total_RNA_input	31	44	Homo sapiens	SRR9115378	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889516	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_triplicate_250ng_total_RNA_input	12	19	Homo sapiens	SRR9115379	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889515	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_triplicate_500ng_total_RNA_input	37	56	Homo sapiens	SRR9115380	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889514	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_triplicate_2000ng_total_RNA_input	49	69	Homo sapiens	SRR9115381	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889509	TRANSCRIPTOMIC	NEB_brain_sample_small_RNA_in_triplicate_100ng_total_RNA_input	2911	1147	Homo sapiens	SRR9115386	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889508	TRANSCRIPTOMIC	Illumina_brain_sample_small_RNA_in_triplicate_2000ng_total_RNA_input	864	332	Homo sapiens	SRR9115387	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889507	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_triplicate_250ng_total_RNA_input	5703	2664	Homo sapiens	SRR9115388	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889506	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_triplicate_100ng_total_RNA_input	6704	3222	Homo sapiens	SRR9115389	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889505	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_triplicate_1000ng_total_RNA_input	4313	2069	Homo sapiens	SRR9115390	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889504	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_triplicate_500ng_total_RNA_input	7108	3386	Homo sapiens	SRR9115391	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889503	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_triplicate_2000ng_total_RNA_input	6055	2794	Homo sapiens	SRR9115392	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889502	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_triplicate_1500ng_total_RNA_input	4572	2114	Homo sapiens	SRR9115393	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889501	TRANSCRIPTOMIC	Illumina_brain_sample_small_RNA_in_triplicate_1500ng_total_RNA_input	1063	410	Homo sapiens	SRR9115394	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889500	TRANSCRIPTOMIC	Illumina_brain_sample_small_RNA_in_triplicate_1000ng_total_RNA_input	835	321	Homo sapiens	SRR9115395	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889513	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_triplicate_100ng_total_RNA_input	8	13	Homo sapiens	SRR9115382	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10330926	Model organism or animal	fastq sra	ncbi s3	SRX5889512	SYNTHETIC	NEXTflex_Miltenyi_Universal Reference_synthetic_small_RNA_300ng_miRNA_input	1542	610	synthetic construct	SRR9115383	SRS4811562	Miltenyi miRXplore Universal Reference synthetic equimolar miRNA pool	missing		Sep-2016	missing	USA: Maryland		Carrie Wright	Miltenyi miRXplore Universal Reference	mouse, rat, virus, human		missing	missing	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10330926	Model organism or animal	fastq sra	ncbi s3	SRX5889511	SYNTHETIC	Deduped_NEXTflex_Miltenyi_Universal Reference_syntehtic_small_RNA_300ng_miRNA_input	52	67	synthetic construct	SRR9115384	SRS4811562	Miltenyi miRXplore Universal Reference synthetic equimolar miRNA pool	missing		Sep-2016	missing	USA: Maryland		Carrie Wright	Miltenyi miRXplore Universal Reference	mouse, rat, virus, human		missing	missing	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10330926	Model organism or animal	fastq sra	ncbi s3	SRX5889510	SYNTHETIC	Random_5%_of_NEXTflex_Miltenyi_Universal Reference_synthetic_small_RNA_300ng_miRNA_input	29	44	synthetic construct	SRR9115385	SRS4811562	Miltenyi miRXplore Universal Reference synthetic equimolar miRNA pool	missing		Sep-2016	missing	USA: Maryland		Carrie Wright	Miltenyi miRXplore Universal Reference	mouse, rat, virus, human		missing	missing	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10330926	Model organism or animal	fastq sra	ncbi s3	SRX5889499	SYNTHETIC	NEB_Miltenyi_Universal Reference_synthetic_small_RNA_300ng_miRNA_input	944	378	synthetic construct	SRR9115396	SRS4811562	Miltenyi miRXplore Universal Reference synthetic equimolar miRNA pool	missing		Sep-2016	missing	USA: Maryland		Carrie Wright	Miltenyi miRXplore Universal Reference	mouse, rat, virus, human		missing	missing	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10330926	Model organism or animal	fastq sra	ncbi s3	SRX5889498	SYNTHETIC	Illumina_Miltenyi_Universal Reference_synthetic_small_RNA_300ng_miRNA_input	1834	730	synthetic construct	SRR9115397	SRS4811562	Miltenyi miRXplore Universal Reference synthetic equimolar miRNA pool	missing		Sep-2016	missing	USA: Maryland		Carrie Wright	Miltenyi miRXplore Universal Reference	mouse, rat, virus, human		missing	missing	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
